id,first_name,last_name,date_of_birth,telephone,email,address,postcode,nhs_number,gp_practice,registered
P001,Meeta,Jain,15/03/1978,07712345601,meeta.jain@email.co.uk,14 Elm Grove,SW12 9RT,485 777 3301,Elm Tree Surgery,True
P002,James,Hargreaves,22/07/1965,07823456102,j.hargreaves@email.co.uk,7 Birch Lane,M14 5QP,493 612 4402,Riverside Medical Centre,True
P003,Sofia,Patel,08/11/1990,07934567203,sofia.patel@gmail.com,32 Oak Street,B15 2TT,476 234 5503,Oakfield Practice,True
P004,Thomas,Bennett,01/04/1952,01612345604,t.bennett@btinternet.com,5 Maple Avenue,M2 4WX,512 890 6604,The Village Surgery,True
P005,Amara,Okonkwo,17/09/1985,07645678305,amara.okonkwo@yahoo.co.uk,19 Cedar Road,E3 4NU,467 345 7705,Riverside Medical Centre,True
P006,David,Clarke,30/12/1971,07756789406,d.clarke@outlook.com,88 Pine Close,LS6 3HJ,498 456 8806,Elm Tree Surgery,True
P007,Priya,Sharma,14/06/1993,07867890507,priya.sharma@gmail.com,3 Willow Way,SE5 8LM,481 567 9907,Oakfield Practice,True
P008,Robert,Wilson,25/02/1948,01714567808,r.wilson@hotmail.co.uk,62 Ash Drive,SW6 2PQ,505 678 1108,The Village Surgery,True
P009,Fatima,Al-Hassan,03/08/1987,07978901609,fatima.alhassan@email.co.uk,11 Rowan Street,W1T 3JA,472 789 2209,Elm Tree Surgery,True
P010,George,Thompson,19/05/1960,07589012710,george.thompson@gmail.com,45 Hawthorn Road,BS3 4KL,489 890 3310,Riverside Medical Centre,True
P011,Chloe,Martin,07/01/1996,07690123811,chloe.martin@email.co.uk,28 Chestnut Avenue,N4 2RP,463 901 4411,Oakfield Practice,True
P012,Rajesh,Kumar,11/10/1975,07701234912,rajesh.kumar@yahoo.co.uk,9 Sycamore Close,UB4 8SN,496 012 5512,The Village Surgery,True
P013,Emily,Jones,28/04/2005,07812346013,emily.jones@email.co.uk,17 Beech Lane,CF10 1QT,478 123 6613,Elm Tree Surgery,True
P014,Mohammed,Hussain,16/07/1982,07923457114,m.hussain@gmail.com,54 Larch Street,BD7 2LM,501 234 7714,Riverside Medical Centre,True
